Date,Close
1/2/2019 16:00:00,323.81
1/3/2019 16:00:00,310.9
1/4/2019 16:00:00,327.08
1/7/2019 16:00:00,328.11
1/8/2019 16:00:00,340.53
1/9/2019 16:00:00,343.83
1/10/2019 16:00:00,352.61
1/11/2019 16:00:00,352.9
1/14/2019 16:00:00,350.36
1/15/2019 16:00:00,352.24
1/16/2019 16:00:00,352.06
1/17/2019 16:00:00,359.09
1/18/2019 16:00:00,364.73
1/22/2019 16:00:00,357.9
1/23/2019 16:00:00,358.61
1/24/2019 16:00:00,358.27
1/25/2019 16:00:00,364.2
1/28/2019 16:00:00,362.97
1/29/2019 16:00:00,364.91
1/30/2019 16:00:00,387.72
1/31/2019 16:00:00,385.62
2/1/2019 16:00:00,387.43
2/4/2019 16:00:00,397
2/5/2019 16:00:00,410.18
2/6/2019 16:00:00,411.11
2/7/2019 16:00:00,405.17
2/8/2019 16:00:00,404.91
2/11/2019 16:00:00,403.95
2/12/2019 16:00:00,410.72
2/13/2019 16:00:00,410.58
2/14/2019 16:00:00,409.82
2/15/2019 16:00:00,417.97
2/19/2019 16:00:00,416.26
2/20/2019 16:00:00,421.55
2/21/2019 16:00:00,417.58
2/22/2019 16:00:00,424.05
2/25/2019 16:00:00,426.87
2/26/2019 16:00:00,426.77
2/27/2019 16:00:00,435.44
2/28/2019 16:00:00,439.96
3/1/2019 16:00:00,440.62
3/4/2019 16:00:00,432.69
3/5/2019 16:00:00,430.12
3/6/2019 16:00:00,424.46
3/7/2019 16:00:00,422.56
3/8/2019 16:00:00,422.54
3/11/2019 16:00:00,400.01
3/12/2019 16:00:00,375.41
3/13/2019 16:00:00,377.14
3/14/2019 16:00:00,373.3
3/15/2019 16:00:00,378.99
3/18/2019 16:00:00,372.28
3/19/2019 16:00:00,373.43
3/20/2019 16:00:00,376.16
3/21/2019 16:00:00,372.7
3/22/2019 16:00:00,362.17
3/25/2019 16:00:00,370.46
3/26/2019 16:00:00,370.38
3/27/2019 16:00:00,374.21
3/28/2019 16:00:00,374.44
3/29/2019 16:00:00,381.42
4/1/2019 16:00:00,391.54
4/2/2019 16:00:00,390.75
4/3/2019 16:00:00,384.74
4/4/2019 16:00:00,395.86
4/5/2019 16:00:00,391.93
4/8/2019 16:00:00,374.52
4/9/2019 16:00:00,369.04
4/10/2019 16:00:00,364.94
4/11/2019 16:00:00,370.16
4/12/2019 16:00:00,379.64
4/15/2019 16:00:00,375.46
4/16/2019 16:00:00,381.72
4/17/2019 16:00:00,377.52
4/18/2019 16:00:00,380.07
